stock_id,stock_name,exchange,industry,ticker,active
301611,珂玛科技,SZ,,SZ301611,1
600004,白云机场,SH,,SH600004,1
600008,首创环保,SH,,SH600008,1
600021,上海电力,SH,,SH600021,1
600032,浙江新能,SH,,SH600032,1
600038,中直股份,SH,,SH600038,1
600060,海信视像,SH,,SH600060,1
600062,华润双鹤,SH,,SH600062,1
600095,湘财股份,SH,,SH600095,1
600098,广州发展,SH,,SH600098,1
600100,同方股份,SH,,SH600100,1
600105,永鼎股份,SH,,SH600105,1
600109,国金证券,SH,,SH600109,1
600126,杭钢股份,SH,,SH600126,1
600131,国网信通,SH,,SH600131,1
600132,重庆啤酒,SH,,SH600132,1
600141,兴发集团,SH,,SH600141,1
600143,金发科技,SH,,SH600143,1
600153,建发股份,SH,,SH600153,1
600157,永泰能源,SH,,SH600157,1
600161,天坛生物,SH,,SH600161,1
600166,福田汽车,SH,,SH600166,1
600170,上海建工,SH,,SH600170,1
600171,上海贝岭,SH,,SH600171,1
600177,雅戈尔,SH,,SH600177,1
600208,衢州发展,SH,,SH600208,1
600256,广汇能源,SH,,SH600256,1
600282,南钢股份,SH,,SH600282,1
600292,电投水电,SH,,SH600292,1
600295,鄂尔多斯,SH,,SH600295,1
600298,安琪酵母,SH,,SH600298,1
600299,安迪苏,SH,,SH600299,1
600312,平高电气,SH,,SH600312,1
600316,洪都航空,SH,,SH600316,1
600329,达仁堂,SH,,SH600329,1
600332,白云山,SH,,SH600332,1
600339,中油工程,SH,,SH600339,1
600348,华阳股份,SH,,SH600348,1
600350,山东高速,SH,,SH600350,1
600352,浙江龙盛,SH,,SH600352,1
600363,联创光电,SH,,SH600363,1
600369,西南证券,SH,,SH600369,1
600377,宁沪高速,SH,,SH600377,1
600378,昊华科技,SH,,SH600378,1
600380,健康元,SH,,SH600380,1
600390,五矿资本,SH,,SH600390,1
600392,盛和资源,SH,,SH600392,1
600398,海澜之家,SH,,SH600398,1
600435,北方导航,SH,,SH600435,1
600483,福能股份,SH,,SH600483,1
600486,扬农化工,SH,,SH600486,1
600497,驰宏锌锗,SH,,SH600497,1
600498,烽火通信,SH,,SH600498,1
600499,科达制造,SH,,SH600499,1
600511,国药股份,SH,,SH600511,1
600516,方大炭素,SH,,SH600516,1
600517,国网英大,SH,,SH600517,1
600521,华海药业,SH,,SH600521,1
600535,天士力,SH,,SH600535,1
600536,中国软件,SH,,SH600536,1
600546,山煤国际,SH,,SH600546,1
600562,国睿科技,SH,,SH600562,1
600563,法拉电子,SH,,SH600563,1
600566,济川药业,SH,,SH600566,1
600578,京能电力,SH,,SH600578,1
600582,天地科技,SH,,SH600582,1
600583,海油工程,SH,,SH600583,1
600595,中孚实业,SH,,SH600595,1
600598,北大荒,SH,,SH600598,1
600601,方正科技,SH,,SH600601,1
600602,云赛智联,SH,,SH600602,1
600606,绿地控股,SH,,SH600606,1
600637,东方明珠,SH,,SH600637,1
600642,申能股份,SH,,SH600642,1
600655,豫园股份,SH,,SH600655,1
600663,陆家嘴,SH,,SH600663,1
600685,中船防务,SH,,SH600685,1
600688,上海石化,SH,,SH600688,1
600699,均胜电子,SH,,SH600699,1
600704,物产中大,SH,,SH600704,1
600707,彩虹股份,SH,,SH600707,1
600711,盛屯矿业,SH,,SH600711,1
600737,中粮糖业,SH,,SH600737,1
600754,锦江酒店,SH,,SH600754,1
600763,通策医疗,SH,,SH600763,1
600764,中国海防,SH,,SH600764,1
600765,中航重机,SH,,SH600765,1
600801,华新建材,SH,,SH600801,1
600808,马钢股份,SH,,SH600808,1
600816,建元信托,SH,,SH600816,1
600820,隧道股份,SH,,SH600820,1
600848,上海临港,SH,,SH600848,1
600862,中航高科,SH,,SH600862,1
600863,华能蒙电,SH,,SH600863,1
600871,石化油服,SH,,SH600871,1
600873,梅花生物,SH,,SH600873,1
600879,航天电子,SH,,SH600879,1
600884,杉杉股份,SH,,SH600884,1
600885,宏发股份,SH,,SH600885,1
600901,江苏金租,SH,,SH600901,1
600906,财达证券,SH,,SH600906,1
600909,华安证券,SH,,SH600909,1
600927,永安期货,SH,,SH600927,1
600967,内蒙一机,SH,,SH600967,1
600968,海油发展,SH,,SH600968,1
600970,中材国际,SH,,SH600970,1
600977,中国电影,SH,,SH600977,1
600985,淮北矿业,SH,,SH600985,1
600988,赤峰黄金,SH,,SH600988,1
600995,南网储能,SH,,SH600995,1
600998,九州通,SH,,SH600998,1
601000,唐山港,SH,,SH601000,1
601001,晋控煤业,SH,,SH601001,1
601016,节能风电,SH,,SH601016,1
601019,山东出版,SH,,SH601019,1
601098,中南传媒,SH,,SH601098,1
601099,太平洋,SH,,SH601099,1
601106,中国一重,SH,,SH601106,1
601108,财通证券,SH,,SH601108,1
601112,振石股份,SH,,SH601112,1
601118,海南橡胶,SH,,SH601118,1
601128,常熟银行,SH,,SH601128,1
601139,深圳燃气,SH,,SH601139,1
601155,新城控股,SH,,SH601155,1
