factor_id,prompt,prompt_zh,model,variant,objective,days,gross_daily_bp,cost_daily_bp,net_daily_bp,average_holdings,median_holdings,average_new_signals,average_raw_signals,daily_turnover,net_sharpe,net_geometric_annual_return
soft_loss_bge_m3_short_long_short,loss,亏损,bge_m3,short,long_short,2082,2.8469180686520854,0.5463254678102126,2.300592600841872,88.69788664745437,90.0,6.13640730067243,14.863592699327569,0.054632546781021266,0.3656389366786248,0.0465092665063608
soft_loss_bge_m3_short_rank_ic,loss,亏损,bge_m3,short,rank_ic,2082,2.8874090486042103,0.5453813660860652,2.342027682518145,87.77713736791547,93.0,6.13640730067243,14.863592699327569,0.05453813660860653,0.3693204876667086,0.0473823459365654
soft_loss_roberta_masked_short_long_short,loss,亏损,roberta,masked_short,long_short,2082,3.5266576292866723,0.5565815557348228,2.9700760735518505,99.89241114313161,104.0,6.13640730067243,14.863592699327569,0.05565815557348229,0.4520754151159948,0.0631126794589302
soft_loss_roberta_masked_short_rank_ic,loss,亏损,roberta,masked_short,rank_ic,2082,3.159893487522334,0.552524895153408,2.607368592368926,95.34918347742556,100.0,6.13640730067243,14.863592699327569,0.0552524895153408,0.4051248039747004,0.0540210748259748
soft_loss_roberta_short_long_short,loss,亏损,roberta,short,long_short,2082,3.9964026677928004,0.5548504099491808,3.441552257843619,100.55619596541787,107.0,6.13640730067243,14.863592699327569,0.05548504099491808,0.5073004061831087,0.0748568880573683
soft_loss_roberta_short_rank_ic,loss,亏损,roberta,short,rank_ic,2082,2.996406702698133,0.5552242185093483,2.441182484188784,98.60806916426513,102.0,6.13640730067243,14.863592699327569,0.05552242185093482,0.3627807623429175,0.0483595836767731
soft_profit_bge_m3_masked_short_long_short,profit,盈利,bge_m3,masked_short,long_short,2082,3.079191159342252,0.5409593459249407,2.538231813417311,85.95052833813641,89.0,6.13640730067243,14.863592699327569,0.05409593459249407,0.4117143138968698,0.0533211632126533
soft_profit_bge_m3_masked_short_rank_ic,profit,盈利,bge_m3,masked_short,rank_ic,2082,2.5576575377115773,0.542129103346404,2.0155284343651725,88.0537944284342,91.0,6.13640730067243,14.863592699327569,0.054212910334640395,0.3225700401067603,0.0392147527240986
soft_profit_bge_m3_short_long_short,profit,盈利,bge_m3,short,long_short,2082,3.496916291826097,0.5443901644906485,2.9525261273354486,92.12968299711815,98.0,6.13640730067243,14.863592699327569,0.05443901644906485,0.465867009247533,0.0636422764159436
soft_profit_bge_m3_short_rank_ic,profit,盈利,bge_m3,short,rank_ic,2082,1.2543588577656222,0.5486903573636858,0.7056685004019356,88.84341978866475,92.0,6.13640730067243,14.863592699327569,0.05486903573636858,0.1065825647574786,0.0039771870242533
soft_profit_roberta_masked_short_long_short,profit,盈利,roberta,masked_short,long_short,2082,3.6527210877283123,0.5575174928308345,3.095203594897478,101.78194044188281,107.0,6.13640730067243,14.863592699327569,0.055751749283083456,0.4679897587108743,0.0662691158874526
soft_profit_roberta_masked_short_rank_ic,profit,盈利,roberta,masked_short,rank_ic,2082,3.031190232392626,0.5578458982584147,2.473344334134212,97.45148895292988,96.0,6.13640730067243,14.863592699327569,0.05578458982584146,0.3726123996600351,0.0495992365565196
soft_profit_roberta_short_long_short,profit,盈利,roberta,short,long_short,2082,2.6139333570536136,0.556597104104446,2.0573362529491677,97.17819404418827,101.0,6.13640730067243,14.863592699327569,0.05565971041044459,0.309130126492429,0.0385904636218181
soft_profit_roberta_short_rank_ic,profit,盈利,roberta,short,rank_ic,2082,3.319766394081885,0.555442011974552,2.7643243821073336,98.86551392891451,104.0,6.13640730067243,14.863592699327569,0.055544201197455206,0.4173166108084754,0.0573977832938596
soft_return_bge_m3_masked_short_long_short,return,收益,bge_m3,masked_short,long_short,2082,4.009776326338348,0.5528737762505208,3.4569025500878263,89.90201729106629,94.0,6.13640730067243,14.863592699327569,0.05528737762505208,0.537480494109504,0.0768223933639893
soft_return_bge_m3_masked_short_rank_ic,return,收益,bge_m3,masked_short,rank_ic,2082,3.2230668785511294,0.5544376922123734,2.6686291863387557,93.47646493756004,99.0,6.13640730067243,14.863592699327569,0.05544376922123734,0.4147411900633764,0.0556220951252555
soft_return_bge_m3_short_long_short,return,收益,bge_m3,short,long_short,2082,3.5978250184353304,0.5457349537739954,3.052090064661336,87.24351585014409,95.0,6.13640730067243,14.863592699327569,0.05457349537739954,0.4564109071411776,0.0648131663684825
soft_return_bge_m3_short_rank_ic,return,收益,bge_m3,short,rank_ic,2082,3.335884352266667,0.5449599550539685,2.790924397212699,80.25840537944285,78.0,6.13640730067243,14.863592699327569,0.054495995505396855,0.4263663461228374,0.0584278766839085
soft_return_roberta_masked_short_long_short,return,收益,roberta,masked_short,long_short,2082,3.615262530242439,0.5574592666223859,3.0578032636200527,96.50096061479347,100.0,6.13640730067243,14.863592699327569,0.055745926662238585,0.4550844521307997,0.0647862926374913
soft_return_roberta_masked_short_rank_ic,return,收益,roberta,masked_short,rank_ic,2082,2.9543828073657736,0.5504274587638335,2.4039553486019396,95.62391930835734,99.0,6.13640730067243,14.863592699327569,0.055042745876383345,0.3686082102630125,0.0482454744931606
soft_return_roberta_short_long_short,return,收益,roberta,short,long_short,2082,1.254629155997995,0.5536736415240548,0.7009555144739398,103.43756003842459,109.0,6.13640730067243,14.863592699327569,0.05536736415240548,0.1065627474543066,0.003956955492846
soft_return_roberta_short_rank_ic,return,收益,roberta,short,rank_ic,2082,3.232497412273114,0.552478543282098,2.680018868991015,99.28290105667627,102.0,6.13640730067243,14.863592699327569,0.0552478543282098,0.4153709060820756,0.0558776616983009
