factor_id,prompt,prompt_zh,model,variant,objective,gamma,gross_daily_bp,cost_daily_bp,net_daily_bp,daily_turnover,net_sharpe,net_geometric_annual_return,average_nominal_holdings,median_nominal_holdings,average_effective_holdings,average_current_top20_names,average_eligible_stocks,average_raw_signal_rows
soft_loss_bge_m3_masked_short_rank_ic,loss,亏损,bge_m3,masked_short,rank_ic,0.5,6.043013216077815,2.609801151880009,3.433212064197806,0.2609801151880009,0.4561683409451474,0.0709797476543503,36.48847262247838,36.0,4.304038526258346,1.1018251681075888,6.13640730067243,14.863592699327569
soft_loss_bge_m3_masked_short_rank_ic,loss,亏损,bge_m3,masked_short,rank_ic,0.6,6.01108606088229,3.1249278065080897,2.8861582543742,0.312492780650809,0.3615970087827732,0.0539841146022561,30.827089337175792,30.0,3.541719576347685,1.1018251681075888,6.13640730067243,14.863592699327569
soft_loss_bge_m3_masked_short_rank_ic,loss,亏损,bge_m3,masked_short,rank_ic,0.7,5.916629352873508,3.641032795676504,2.275596557197004,0.36410327956765043,0.268599823759083,0.0352833444040874,26.076368876080693,25.0,2.9534736707117593,1.1018251681075888,6.13640730067243,14.863592699327569
soft_loss_bge_m3_masked_short_rank_ic,loss,亏损,bge_m3,masked_short,rank_ic,0.8,5.812402885912384,4.159572235446048,1.6528306504663368,0.4159572235446049,0.1835786697537534,0.0162250418950113,21.757444764649374,21.0,2.478845696426216,1.1018251681075888,6.13640730067243,14.863592699327569
soft_loss_bge_m3_masked_short_rank_ic,loss,亏损,bge_m3,masked_short,rank_ic,0.9,5.744980749509558,4.678406491456921,1.0665742580526387,0.46784064914569207,0.1112798160473962,-0.0020273934545768,16.96829971181556,16.0,2.082194166294519,1.1018251681075888,6.13640730067243,14.863592699327569
soft_loss_bge_m3_masked_short_rank_ic,loss,亏损,bge_m3,masked_short,rank_ic,1.0,5.758432240273799,5.198533039419652,0.5598992008541464,0.5198533039419652,0.0547393348102205,-0.0185724289084761,1.7425552353506244,2.0,1.7422388370515172,1.1018251681075888,6.13640730067243,14.863592699327569
soft_profit_roberta_masked_short_long_short,profit,盈利,roberta,masked_short,long_short,0.1,3.6527210877283123,0.5575174928308345,3.095203594897478,0.055751749283083456,0.4679897587108743,0.0662691158874526,101.78194044188281,107.0,14.6561960503995,1.1018251681075888,6.13640730067243,14.863592699327569
soft_profit_roberta_masked_short_long_short,profit,盈利,roberta,masked_short,long_short,0.2,4.318910937540591,1.0830808147187052,3.2358301228218855,0.10830808147187052,0.4589348889936422,0.0680469388894084,72.24639769452449,73.0,9.80743684975538,1.1018251681075888,6.13640730067243,14.863592699327569
soft_profit_roberta_masked_short_long_short,profit,盈利,roberta,masked_short,long_short,0.3,4.84442795908991,1.6060013342061368,3.238426624883775,0.1606001334206137,0.4323154206483778,0.0659735740329565,57.42459173871278,57.0,7.168167198388573,1.1018251681075888,6.13640730067243,14.863592699327569
soft_profit_roberta_masked_short_long_short,profit,盈利,roberta,masked_short,long_short,0.4,5.246331190752171,2.128086804048804,3.1182443867033682,0.2128086804048804,0.3917539823168872,0.060342283493602,47.01681075888569,46.0,5.531619191457902,1.1018251681075888,6.13640730067243,14.863592699327569
